app_id,status,name,type,required_age,platforms,metacritic_score,category_ids,categories,genre_ids,genres,recommendations
49408,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49409,True,Duels of the Planeswalkers Gold Deck Bundle,game,0,windows,69,NA,NA,2,Strategy,NA
49410,True,Hands of Flame Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49411,True,Wings of Light Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49412,True,Eyes of Shadow Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49413,True,Ears of the Elves Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49414,True,Claws of Vengeance Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49415,True,Scales of Fury Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49416,True,Thoughts of Wind Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49417,True,Mind of Void Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49418,True,Cries of Rage Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49419,True,Relics of Doom Deck Unlock,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49421,True,Heat of Battle Deck Unlock,advertising,0,windows,NA,2:24,Single-player:Shared/Split Screen,2,Strategy,NA
49422,True,Eons of Evil Deck Unlock,advertising,0,windows,NA,2:24,Single-player:Shared/Split Screen,2,Strategy,NA
49423,True,Heart of the Worlds Deck Unlock,advertising,0,windows,NA,2:24,Single-player:Shared/Split Screen,2,Strategy,NA
49424,True,Weapons of the Warrior Deck Unlock,advertising,0,windows,NA,2:24:22:18:23:25,Single-player:Shared/Split Screen:Steam Achievements:Partial Controller Support:Steam Cloud:Steam Leaderboards,2,Strategy,NA
49425,True,Root of the Firemind Deck Unlock,advertising,0,windows,NA,2:24:22:18:23:8:25,Single-player:Shared/Split Screen:Steam Achievements:Partial Controller Support:Steam Cloud:Valve Anti-Cheat enabled:Steam Leaderboards,2,Strategy,NA
49426,True,Master of Shadows Deck Unlock,advertising,0,windows,NA,2:24:22:18:23:8:25,Single-player:Shared/Split Screen:Steam Achievements:Partial Controller Support:Steam Cloud:Valve Anti-Cheat enabled:Steam Leaderboards,2,Strategy,NA
49427,True,Teeth of the Predator Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49428,True,Hands of Flame Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49429,True,Wings of Light Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49430,True,Eyes of Shadow Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49431,True,Ears of the Elves Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49432,True,Claws of Vengeance Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49433,True,Scales of Fury Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49434,True,Thoughts of Wind Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49435,True,Mind of Void Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49436,True,Cries of Rage Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49437,True,Relics of Doom Foil Conversion,advertising,0,windows,NA,NA,NA,2,Strategy,NA
49438,True,Heat of Battle Foil Conversion,advertising,0,windows,NA,2:24,Single-player:Shared/Split Screen,2,Strategy,NA
49439,True,Eons of Evil Foil Conversion,advertising,0,windows,NA,2:24,Single-player:Shared/Split Screen,2,Strategy,NA
