app_id,status,review_score,review_score_desc,total_positive,total_negative,total_reviews
3800,True,8,Very Positive,183,44,227
3810,True,6,Mostly Positive,206,77,283
3820,True,5,Mixed,122,72,194
3830,True,9,Overwhelmingly Positive,4314,163,4477
3838,True,0,3 user reviews,3,0,3
3839,True,0,3 user reviews,3,0,3
3840,True,0,No user reviews,0,0,0
3850,True,0,No user reviews,0,0,0
3900,True,8,Very Positive,973,73,1046
3910,True,8,Very Positive,1862,164,2026
3920,True,8,Very Positive,2345,138,2483
3960,True,5,Mixed,42,43,85
3970,True,0,4 user reviews,4,0,4
3980,True,6,Mostly Positive,187,73,260
3990,True,8,Very Positive,102,10,112
4000,True,9,Overwhelmingly Positive,256769,8925,265694
4010,True,0,No user reviews,0,0,0
4020,True,0,No user reviews,0,0,0
4100,True,5,Mixed,5,5,10
4102,True,0,No user reviews,0,0,0
4200,True,0,No user reviews,0,0,0
4206,True,0,No user reviews,0,0,0
4207,True,0,No user reviews,0,0,0
4210,True,0,No user reviews,0,0,0
4230,True,7,Positive,29,4,33
4240,True,0,No user reviews,0,0,0
4260,True,0,No user reviews,0,0,0
4270,True,0,No user reviews,0,0,0
4280,True,0,No user reviews,0,0,0
4290,True,0,1 user reviews,1,0,1
4300,True,6,Mostly Positive,17,5,22
4310,True,0,No user reviews,0,0,0
4320,True,0,4 user reviews,2,2,4
4329,True,0,No user reviews,0,0,0
4330,True,0,No user reviews,0,0,0
4400,True,0,No user reviews,0,0,0
4410,True,0,No user reviews,0,0,0
4420,True,5,Mixed,25,30,55
4440,True,0,No user reviews,0,0,0
4450,True,0,No user reviews,0,0,0
4460,True,5,Mixed,38,25,63
4470,True,5,Mixed,20,10,30
4480,True,0,No user reviews,0,0,0
4500,True,8,Very Positive,5827,331,6158
4520,True,5,Mixed,66,30,96
4530,True,5,Mixed,48,24,72
4540,True,8,Very Positive,615,110,725
4550,True,8,Very Positive,873,66,939
4560,True,8,Very Positive,1911,135,2046
4570,True,9,Overwhelmingly Positive,2163,103,2266
4580,True,9,Overwhelmingly Positive,2257,82,2339
4590,True,0,No user reviews,0,0,0
4600,True,0,No user reviews,0,0,0
4610,True,0,No user reviews,0,0,0
4700,True,9,Overwhelmingly Positive,8230,383,8613
4710,True,0,No user reviews,0,0,0
4720,True,8,Very Positive,726,119,845
4720,True,8,Very Positive,726,120,846
4730,True,0,No user reviews,0,0,0
4760,True,8,Very Positive,5778,345,6123
4770,True,5,Mixed,235,105,340
4780,True,8,Very Positive,414,14,428
4790,True,0,No user reviews,0,0,0
4800,True,8,Very Positive,71,12,83
4808,True,0,No user reviews,0,0,0
4810,True,0,No user reviews,0,0,0
4820,True,0,No user reviews,0,0,0
4830,True,7,Positive,35,0,35
4850,True,8,Very Positive,369,50,419
4856,True,0,1 user reviews,0,1,1
4870,True,8,Very Positive,50,12,62
4880,True,6,Mostly Positive,66,24,90
4890,True,5,Mixed,105,52,157
4900,True,8,Very Positive,64,8,72
4910,True,0,No user reviews,0,0,0
4920,True,8,Very Positive,3913,640,4553
4930,True,0,No user reviews,0,0,0
4931,True,0,No user reviews,0,0,0
4932,True,0,No user reviews,0,0,0
4940,True,0,No user reviews,0,0,0
5000,True,0,No user reviews,0,0,0
5001,True,0,No user reviews,0,0,0
5002,True,0,No user reviews,0,0,0
5003,True,0,No user reviews,0,0,0
5004,True,0,No user reviews,0,0,0
5005,True,0,No user reviews,0,0,0
5006,True,0,No user reviews,0,0,0
5007,True,0,No user reviews,0,0,0
5008,True,0,No user reviews,0,0,0
5009,True,0,No user reviews,0,0,0
5010,True,0,No user reviews,0,0,0
5011,True,0,No user reviews,0,0,0
5012,True,0,No user reviews,0,0,0
5013,True,0,No user reviews,0,0,0
5014,True,0,No user reviews,0,0,0
5015,True,0,No user reviews,0,0,0
5016,True,0,No user reviews,0,0,0
5017,True,0,No user reviews,0,0,0
5018,True,0,No user reviews,0,0,0
5019,True,0,No user reviews,0,0,0
5020,True,0,No user reviews,0,0,0
5021,True,0,No user reviews,0,0,0
5022,True,0,No user reviews,0,0,0
5023,True,0,No user reviews,0,0,0
5024,True,0,No user reviews,0,0,0
5025,True,0,No user reviews,0,0,0
5026,True,0,No user reviews,0,0,0
5027,True,0,No user reviews,0,0,0
5028,True,0,No user reviews,0,0,0
5030,True,0,No user reviews,0,0,0
5031,True,0,No user reviews,0,0,0
5032,True,0,No user reviews,0,0,0
5033,True,0,No user reviews,0,0,0
5034,True,0,No user reviews,0,0,0
5035,True,0,No user reviews,0,0,0
5036,True,0,No user reviews,0,0,0
5037,True,0,No user reviews,0,0,0
5038,True,0,No user reviews,0,0,0
5039,True,0,No user reviews,0,0,0
5040,True,0,No user reviews,0,0,0
5041,True,0,No user reviews,0,0,0
5042,True,0,No user reviews,0,0,0
5043,True,0,No user reviews,0,0,0
5044,True,0,No user reviews,0,0,0
5045,True,0,No user reviews,0,0,0
5046,True,0,No user reviews,0,0,0
5047,True,0,No user reviews,0,0,0
5048,True,0,No user reviews,0,0,0
5049,True,0,No user reviews,0,0,0
