game_title,hours
Anomaly 2,7.6000000000000005
Anomaly 2 Soundtrack,0.0
Anomaly Defenders,0.0
Anomaly Korea,0.9
Anomaly Warzone Earth,77.49999999999999
Anomaly Warzone Earth Mobile Campaign,2.1
Another Perspective,0.3
Another World,6.2
Anoxemia,24.6
Antichamber,139.39999999999998
Antisquad,16.2
Antisquad - Skirmishes DLC,0.0
Antisquad Tasks in Mexico - final. Tactics DLC,0.0
Antisquad Tasks in Mexico - the beginning. Tactics FREE DLC,0.0
Antisquad Tasks in North Korea. Tactics DLC,0.0
Antisquad Tasks near the coast of Somalia. Tactics DLC,0.0
Aperture Tag The Paint Gun Testing Initiative,3.6
Apollo4x,3.8
Apotheon,14.6
Apotheon Arena,6.300000000000001
App Game Kit,0.0
Aqua Kitty - Milk Mine Defender,0.6000000000000001
AquaNox,0.8999999999999999
AquaNox 2 Revelation,0.0
Aquaria,30.0
Arcadia,0.6
Arcane Saga Online,0.0
Arcane Worlds,0.2
ArcaniA,59.7
ArcaniA Fall of Setarrif,0.0
ArcheAge,1109.7
ArcheAge Archeum Founders Pack,0.0
ArcheAge Gold Founders Pack,0.0
ArcheAge Silver Founders Pack,0.0
Archeblade,257.1
ArchonClassic,1.3
Arctic Adventure,0.0
Arctic Combat,18.400000000000002
Arena Wars 2,0.0
Arma 2,825.5
Arma 2 British Armed Forces,0.7
Arma 2 DayZ Mod,148.10000000000002
Arma 2 Free,3.2
Arma 2 Operation Arrowhead,9429.7
Arma 2 Operation Arrowhead Beta (Obsolete),190.4
Arma 2 Private Military Company,5.3999999999999995
Arma 3,24055.7
Arma 3 Helicopters,0.0
Arma 3 Karts,0.0
Arma 3 Marksmen,0.0
Arma 3 Zeus,0.0
Arma Cold War Assault,37.9
Arma Combat Operations,99.2
Arma Gold Edition,0.0
Arma Tactics,9.7
Arma X Anniversary Edition,0.0
Armada 2526,1.7999999999999998
Armello,14.0
Armikrog,4.7
Arms Dealer,1.9
Arsenal of Democracy,0.0
Arson & Plunder Unleashed,0.0
ArtRage 4,0.0
ArtRage Studio Pro,9.3
Artemis Spaceship Bridge Simulator,8.5
Arx Fatalis,62.3
Ascend Hand of Kul,62.3
Ascendant,5.0
Ashes of the Singularity,0.7
Asphyxia,0.0
Assassin's Creed,415.4
Assassin's Creed Brotherhood,976.4000000000001
Assassin's Creed Freedom Cry,8.9
Assassin's Creed II,1646.1
Assassin's Creed III,2545.3999999999996
Assassin's Creed IV Black Flag,3230.2999999999997
Assassin's Creed Liberation,0.0
Assassin's Creed Revelations,1145.1
Assassin's Creed Rogue,62.0
Assassin's Creed Syndicate,96.4
Assassins Creed Chronicles China,9.6
Assassins Creed Unity,343.0
Assault Android Cactus,2.9
Assetto Corsa,283.29999999999995
Assetto Corsa - Dream Pack 1,0.0
Astebreed,0.8
Asteria,1.0
Asteroids Outpost,0.3
Astray,0.0
Astro Lords,0.30000000000000004
Astro Tripper,0.0
AstroPop Deluxe,0.0
Atari 80 Classic Games in One!,0.0
Atlantica Online,8.2
Atom Zombie Smasher ,110.8
Attrition Nuclear Domination,0.0
Audiosurf,647.8999999999999
Audiosurf 2,110.3
Audition Online,10.299999999999999
Auditorium,0.9
Aura Fate of the Ages,10.799999999999999
Aura Kingdom,209.39999999999998
Aura Kingdom - Winter Gift,0.0
Autobahn Police Simulator,1.9000000000000001
Autocraft,5.1
Automation - The Car Company Tycoon Game,12.4
Avadon 2 The Corruption,2.9
Avadon The Black Fortress,1.0
Avencast,0.0
