app_id,num_users,total_hours
3390,277.0,116870.0
3400,30.0,6546.0
3410,93.0,52398.0
3420,13.0,3797.0
3430,55.0,41985.0
3450,130.0,1539125.0
3460,9.0,7674.0
3470,72.0,385549.0
3480,1000.0,3023997.0
3490,13.0,36003.0
3500,13.0,13510.0
3510,31.0,49799.0
3520,17.0,15284.0
3530,35.0,45132.0
3540,402.0,1492348.0
3560,146.0,730835.0
3570,11.0,14744.0
3580,20.0,11593.0
3590,1000.0,2481090.0
3600,56.0,88512.0
3610,14.0,16192.0
3620,302.0,2929369.0
3630,34.0,90536.0
3700,687.0,718602.0
3710,100.0,96462.0
3720,100.0,346363.0
3730,1000.0,936372.0
3800,227.0,117469.0
3810,100.0,88552.0
3820,194.0,132469.0
3830,300.0,671476.0
3838,3.0,0.0
3839,3.0,0.0
3900,1000.0,12376959.0
3910,1000.0,30914367.0
3920,1000.0,3379531.0
3960,85.0,98475.0
3970,4.0,1383.0
3980,260.0,651371.0
3990,112.0,4444814.0
4000,1000.0,20923261.0
4100,10.0,7426.0
4230,33.0,8329.0
4290,1.0,14.0
4300,22.0,12974.0
4320,4.0,2772.0
4420,55.0,42584.0
4460,63.0,59555.0
4470,30.0,50077.0
4500,1000.0,2798853.0
4520,96.0,67080.0
4530,72.0,107923.0
4540,725.0,1148358.0
4550,939.0,5340907.0
4560,1000.0,2943851.0
4570,1000.0,1402316.0
4580,1000.0,5569900.0
4700,1000.0,18169282.0
4720,1246.0,636545.0
4760,1000.0,14921819.0
4770,340.0,936021.0
4780,428.0,6199632.0
4800,83.0,161004.0
4830,35.0,92266.0
4850,419.0,2947464.0
4856,1.0,0.0
4870,62.0,459877.0
4880,90.0,490993.0
4890,157.0,410275.0
4900,72.0,926023.0
4920,1000.0,21463764.0
6000,1000.0,1029539.0
6010,531.0,397516.0
6020,1000.0,5247463.0
6030,1000.0,1417061.0
6040,493.0,315184.0
6060,1000.0,2671463.0
6080,335.0,407799.0
6090,111.0,43860.0
6100,33.0,7185.0
6120,567.0,242627.0
6200,734.0,775599.0
6210,81.0,88057.0
6220,757.0,1323403.0
6250,343.0,2029943.0
6260,1.0,97.0
6270,74.0,2794.0
6300,544.0,506847.0
6310,943.0,1157893.0
6340,3.0,133417.0
6370,4.0,6789.0
6400,66.0,218003.0
6420,414.0,669094.0
6510,367.0,191936.0
6550,959.0,1035116.0
6570,53.0,25490.0
6600,56.0,9926.0
6800,717.0,973673.0
6810,203.0,195371.0
6830,670.0,1030747.0
6840,249.0,191109.0
6850,805.0,1108283.0
6860,1000.0,2389715.0
6870,257.0,269716.0
6880,1000.0,934917.0
6900,887.0,579234.0
6910,1000.0,2094164.0
