app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
8330,5,Mixed,24,16,40
8340,8,Very Positive,176,10,186
8350,7,Positive,9,2,11
8360,0,8 user reviews,7,1,8
8370,0,8 user reviews,7,1,8
8380,0,7 user reviews,6,1,7
8400,8,Very Positive,490,47,537
8500,8,Very Positive,3572,751,4323
8600,8,Very Positive,362,38,400
8660,7,Positive,21,2,23
8690,0,4 user reviews,3,1,4
8790,8,Very Positive,89,6,95
8800,9,Overwhelmingly Positive,1291,48,1339
8840,0,3 user reviews,2,1,3
8850,8,Very Positive,3871,521,4392
8870,8,Very Positive,32559,2106,34665
8880,5,Mixed,159,103,262
8890,8,Very Positive,101,15,116
8930,9,Overwhelmingly Positive,59911,2500,62411
8970,5,Mixed,21,11,32
8980,8,Very Positive,9468,680,10148
8990,8,Very Positive,172,34,206
9000,8,Very Positive,177,28,205
9010,8,Very Positive,2028,187,2215
9030,8,Very Positive,124,12,136
9040,8,Very Positive,183,13,196
9050,8,Very Positive,2087,276,2363
9060,6,Mostly Positive,167,44,211
9070,8,Very Positive,255,40,295
9160,6,Mostly Positive,218,59,277
9180,8,Very Positive,704,46,750
9200,6,Mostly Positive,3714,1463,5177
9310,8,Very Positive,413,47,460
9340,8,Very Positive,268,31,299
9350,8,Very Positive,559,82,641
9400,0,5 user reviews,3,2,5
9420,9,Overwhelmingly Positive,2949,103,3052
9450,9,Overwhelmingly Positive,3533,182,3715
9460,5,Mixed,195,116,311
9480,6,Mostly Positive,3476,1040,4516
9500,5,Mixed,63,34,97
9710,5,Mixed,17,24,41
9730,4,Mostly Negative,35,62,97
9740,7,Positive,26,4,30
9760,6,Mostly Positive,92,25,117
9800,5,Mixed,170,73,243
9850,5,Mixed,25,21,46
9860,8,Very Positive,163,12,175
9870,8,Very Positive,955,65,1020
9880,5,Mixed,82,62,144
9900,6,Mostly Positive,460,161,621
9908,5,Mixed,20,10,30
9940,8,Very Positive,427,96,523
9960,5,Mixed,7,8,15
9970,4,Mostly Negative,4,15,19
9980,5,Mixed,29,14,43
9990,5,Mixed,27,40,67
10000,0,8 user reviews,8,0,8
10080,0,9 user reviews,9,0,9
10090,8,Very Positive,19096,1210,20306
10100,8,Very Positive,96,24,120
10110,8,Very Positive,119,27,146
10120,5,Mixed,10,15,25
10130,6,Mostly Positive,284,106,390
10140,5,Mixed,44,24,68
10150,6,Mostly Positive,1803,600,2403
10170,7,Positive,32,1,33
10180,8,Very Positive,8537,1002,9539
10190,8,Very Positive,1487,131,1618
10195,5,Mixed,26,18,44
10196,5,Mixed,15,19,34
10220,4,Mostly Negative,239,538,777
10230,4,Mostly Negative,19,47,66
10240,5,Mixed,9,6,15
10250,5,Mixed,10,13,23
10260,0,9 user reviews,4,5,9
10270,5,Mixed,108,100,208
10430,8,Very Positive,41,9,50
10460,5,Mixed,30,27,57
10500,8,Very Positive,5823,785,6608
10540,0,1 user reviews,1,0,1
10600,7,Positive,36,4,40
10604,7,Positive,32,8,40
10606,5,Mixed,36,26,62
10607,6,Mostly Positive,42,13,55
10608,7,Positive,16,1,17
10650,0,5 user reviews,3,2,5
10680,8,Very Positive,3894,550,4444
10690,0,2 user reviews,2,0,2
10695,5,Mixed,14,7,21
10697,6,Mostly Positive,12,4,16
11020,8,Very Positive,45,7,52
11040,5,Mixed,69,30,99
11050,5,Mixed,46,23,69
11060,0,1 user reviews,0,1,1
11130,2,Very Negative,9,58,67
11140,6,Mostly Positive,104,42,146
11150,5,Mixed,64,45,109
11170,7,Positive,14,3,17
11180,4,Mostly Negative,29,66,95
11190,6,Mostly Positive,173,63,236
11200,5,Mixed,134,90,224
11230,5,Mixed,78,39,117
